TMNID,Campaign_ID,Domain,arm_campaign,Sent_Title,Sent_Msg,Last_Action,Reward_Score,Sent_At
tmn.10112652121,BUDDY_SCENARIO_1167_f6aad74d,PMS,,สรุปยอด SoF เดือนนี้ ช้อปปังแค่ไหน!,Non! เดือนมีนาคม 2026 ใช้ SoF ไป 178 บาท! มาเช็กยอดรวมกันว่าปังแค่ไหน ลองวางแผนให้เป๊ะกว่าเดิมนะ,IMPRESSION,0.0,2026-05-21T14:11:37.768198+07:00
tmn.10112652121,BUDDY_SCENARIO_1166_ef1facb6,PMS,,สรุปยอด E-Wallet ของ Non มาแล้วจ้า,Non รู้ยัง? เดือนนี้ใช้ E-Wallet SoF ไป 178 บาท ดูสรุปเต็มๆ ได้ที่นี่ คุมงบอยู่หมัด ไม่ต้องลุ้นตอนสิ้นเดือน!,IMPRESSION,0.0,2026-05-21T14:11:36.688076+07:00
tmn.10112652121,BUDDY_SCENARIO_108_dc6a4e63,PMS,,เงินเก็บปังๆ เริ่มได้เลย,เห็นยอดใช้จ่ายแล้วป่ะ? มาลองตั้งเป้าเก็บเงินกัน! MoneyBuddy ช่วยให้เงินงอกเงยแบบสับๆ เลยนะ,OPEN,1.0,2026-05-21T14:11:35.560987+07:00
tmn.10112652121,3_78b46f05,711,,เซเว่นยืนหนึ่ง! ช้อปฟิน บันทึกปังๆ,ยอด 7-11 พุ่งปรี๊ด! จ่ายผ่านแอปคือดีย์ แถมบันทึกอัตโนมัติ ไม่ต้องกลัวลืม,OPEN,1.0,2026-05-21T14:11:34.487207+07:00
tmn.10112652121,3_1be807a8,711,,ขาช้อป 7-Eleven ตัวจริง!,7-Eleven ยืนหนึ่ง! สัปดาห์นี้มาจัดเต็มอีกรอบกัน! เปิดบาร์โค้ดสแกนปุ๊บ จ่ายง่ายปั๊บ สุดปัง!,DISMISS,-0.5,2026-05-21T14:11:33.410235+07:00
tmn.10112652121,3_aeeaddc0,711,,ติดเซเว่นเบอร์นี้ได้ไง!,ยอดใช้จ่ายเซเว่น Non ปังไม่ไหว! สแกน All Member ด่วนๆ สะสมแต้ม แลกของกินฟรีจุกๆ ไปเลย!,DISMISS,-0.5,2026-05-21T14:11:32.319387+07:00
tmn.10086632327,BUDDY_SCENARIO_1167_70f22e68,PMS,,สรุป E-Wallet เดือนนี้ ว้าวมากแม่!,"เดือน มี.ค. นี้ แจ็คใช้จ่ายผ่าน E-Wallet SoF ไปแล้ว 1,614 บาท! มาดูกันว่ายอดนี้ใช้ไปกับอะไรบ้าง แล้วมาวางแผนเก็บเงินตามเป้ากัน! #ปังไม่ไหว",IMPRESSION,0.0,2026-05-21T14:11:31.259356+07:00
tmn.10086632327,BUDDY_SCENARIO_1166_118967af,PMS,,สรุปยอดใช้ E-Wallet เดือนนี้รู้ยัง?,ยอดใช้ E-Wallet SoF เดือนมีนาคม 1614 บาท! มาเช็กสรุปง่ายๆ คุมงบเดือนหน้าได้เป๊ะปัง ไม่มีโป๊ะแน่นอน!,DISMISS,-0.5,2026-05-21T14:11:30.130016+07:00
tmn.10086632327,BUDDY_SCENARIO_108_1c6ed2fd,PMS,,เก็บเงินให้ปัง ทำได้ชิลล์ๆ!,Jack ใช้ E-Wallet คล่องปร๋อ! มาลองปั้นเงินเก็บให้โตไปด้วยกันกับ MoneyBuddy สิ ง่ายกว่าที่คิดเยอะ!,DISMISS,-0.5,2026-05-21T14:11:29.049956+07:00
tmn.10086632327,3_69f700b4,711,,ขาประจำเซเว่นมาทางนี้!,ขาประจำเซเว่นมาทางนี้! ช้อปของอร่อยเติมพลังง่ายๆ แค่สแกนบาร์โค้ด ติ๊ดเดียวจบ! ฟินสุดๆ,OPEN,1.0,2026-05-21T14:11:27.981728+07:00
